Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796477267, 372423, 584, 423, 542
1557796477280, 372436, 584, 424, 543
1557796477292, 372450, 584, 423, 542
1557796477306, 372463, 584, 424, 543
1557796477319, 372475, 584, 423, 543
1557796477332, 372489, 584, 423, 543
1557796477345, 372502, 583, 423, 543
1557796477358, 372515, 583, 423, 543
1557796477371, 372528, 583, 423, 543
1557796477385, 372541, 583, 423, 543
1557796477397, 372554, 583, 423, 543
1557796477410, 372568, 584, 424, 543
1557796477424, 372580, 584, 423, 542
1557796477436, 372593, 584, 423, 543
1557796477450, 372606, 584, 423, 542
1557796477463, 372620, 584, 423, 543
1557796477476, 372633, 584, 424, 543
1557796477489, 372645, 583, 423, 544
1557796477504, 372659, 583, 423, 543
1557796477516, 372672, 583, 423, 543
1557796477529, 372685, 584, 423, 543
1557796477541, 372698, 584, 423, 542
1557796477555, 372711, 584, 423, 542
1557796477568, 372724, 584, 423, 542
1557796477580, 372738, 584, 423, 542
1557796477594, 372750, 583, 423, 543
1557796477606, 372763, 584, 423, 543
1557796477620, 372776, 584, 423, 543
1557796477632, 372790, 584, 423, 543
1557796477646, 372802, 584, 424, 543
1557796477659, 372815, 583, 424, 543
1557796477672, 372829, 584, 422, 543
1557796477685, 372842, 582, 421, 543
1557796477699, 372855, 582, 416, 541
1557796477711, 372868, 584, 413, 543
1557796477725, 372881, 581, 416, 547
1557796477738, 372894, 582, 419, 550
1557796477751, 372908, 581, 419, 554
1557796477763, 372920, 580, 415, 558
1557796477777, 372933, 579, 409, 564
1557796477789, 372946, 577, 404, 570
1557796477802, 372960, 573, 386, 575
1557796477815, 372972, 577, 366, 580
1557796477829, 372985, 583, 352, 585
1557796477841, 372999, 590, 345, 589
1557796477856, 373012, 591, 355, 590
1557796477868, 373024, 588, 371, 590
1557796477882, 373038, 591, 381, 584
1557796477894, 373051, 597, 388, 577
1557796477908, 373064, 600, 387, 571
1557796477920, 373078, 601, 381, 568
1557796477933, 373090, 602, 382, 563
1557796477947, 373103, 602, 390, 562
1557796477959, 373116, 599, 404, 559
1557796477972, 373130, 595, 419, 554
1557796477985, 373142, 592, 431, 546
1557796477998, 373155, 595, 443, 537
1557796478012, 373169, 600, 452, 528
1557796478025, 373182, 601, 457, 523
1557796478038, 373194, 600, 466, 519
1557796478050, 373208, 597, 472, 520
1557796478064, 373221, 591, 477, 521
1557796478077, 373234, 589, 484, 518
1557796478091, 373246, 590, 489, 510
1557796478103, 373260, 592, 492, 503
1557796478116, 373273, 591, 497, 502
1557796478130, 373286, 592, 500, 502
1557796478142, 373300, 594, 504, 501
1557796478155, 373312, 595, 507, 502
1557796478169, 373325, 599, 509, 501
1557796478182, 373339, 601, 508, 500
1557796478196, 373352, 606, 509, 500
1557796478208, 373364, 607, 508, 502
1557796478222, 373378, 606, 506, 507
1557796478235, 373391, 609, 503, 507
1557796478247, 373404, 612, 505, 506
1557796478260, 373416, 615, 503, 502
1557796478273, 373430, 620, 501, 500
1557796478286, 373443, 621, 499, 499
1557796478299, 373456, 620, 499, 501
1557796478312, 373469, 618, 503, 504
1557796478326, 373482, 615, 509, 506
1557796478338, 373495, 615, 514, 510
1557796478351, 373509, 614, 517, 513
1557796478365, 373522, 616, 516, 514
1557796478378, 373534, 616, 512, 517
1557796478391, 373548, 620, 511, 514
1557796478404, 373561, 626, 512, 510
1557796478418, 373574, 634, 518, 498
1557796478430, 373586, 627, 514, 497
1557796478443, 373600, 622, 514, 499
1557796478457, 373613, 618, 514, 502
1557796478469, 373626, 618, 516, 503
1557796478483, 373639, 620, 518, 507
1557796478496, 373652, 623, 517, 510
1557796478508, 373665, 629, 514, 511
1557796478522, 373679, 634, 512, 510
1557796478535, 373691, 635, 511, 511
1557796478548, 373704, 632, 512, 512
1557796478560, 373718, 632, 511, 508
1557796478575, 373731, 632, 510, 507
1557796478586, 373744, 631, 513, 507
1557796478599, 373756, 632, 517, 507
1557796478613, 373770, 631, 519, 508
1557796478628, 373783, 628, 517, 508
1557796478640, 373796, 626, 513, 508
1557796478653, 373809, 628, 512, 508
1557796478665, 373822, 630, 512, 508
1557796478679, 373835, 628, 511, 509
1557796478692, 373849, 625, 512, 510
1557796478704, 373861, 622, 515, 511
1557796478717, 373874, 620, 516, 511
1557796478731, 373888, 618, 516, 510
1557796478743, 373901, 618, 517, 509
1557796478757, 373913, 617, 519, 510
1557796478772, 373926, 618, 519, 512
1557796478784, 373940, 620, 518, 512
1557796478796, 373953, 621, 514, 513
1557796478808, 373966, 623, 514, 511
1557796478823, 373979, 622, 516, 511
1557796478835, 373992, 620, 519, 510
1557796478848, 374005, 622, 519, 508
1557796478861, 374019, 624, 518, 507
1557796478875, 374031, 626, 517, 507
1557796478888, 374044, 626, 517, 506
1557796478900, 374057, 626, 519, 505
1557796478913, 374071, 624, 519, 505
1557796478926, 374083, 623, 519, 506
1557796478940, 374096, 619, 517, 509
1557796478953, 374110, 618, 517, 512
1557796478966, 374123, 620, 519, 512
1557796478980, 374135, 620, 520, 512
1557796478992, 374149, 621, 521, 509
1557796479005, 374162, 621, 521, 506
1557796479017, 374175, 623, 521, 503
1557796479031, 374189, 624, 519, 502
1557796479044, 374201, 623, 519, 502
1557796479058, 374214, 623, 517, 505
1557796479071, 374227, 623, 514, 505
1557796479083, 374241, 624, 515, 508
1557796479096, 374253, 625, 513, 509
1557796479110, 374266, 624, 512, 509
1557796479123, 374280, 624, 512, 510
1557796479137, 374293, 624, 512, 510
1557796479148, 374305, 624, 512, 509
1557796479162, 374319, 625, 512, 509
1557796479176, 374332, 625, 513, 509
1557796479188, 374345, 623, 514, 510
1557796479201, 374358, 620, 514, 511
1557796479214, 374371, 619, 513, 511
1557796479229, 374384, 618, 513, 511
1557796479241, 374397, 616, 512, 512
1557796479254, 374411, 615, 514, 512
1557796479266, 374423, 617, 514, 510
1557796479279, 374436, 617, 515, 510
1557796479293, 374450, 616, 513, 509
1557796479306, 374463, 614, 511, 510
1557796479319, 374475, 613, 507, 509
1557796479332, 374489, 612, 504, 509
1557796479345, 374502, 611, 503, 510
1557796479358, 374515, 611, 500, 512
1557796479371, 374528, 611, 503, 512
1557796479384, 374541, 613, 504, 511
1557796479397, 374554, 614, 504, 511
1557796479410, 374567, 614, 503, 510
1557796479425, 374580, 614, 500, 511
1557796479437, 374593, 612, 494, 513
1557796479450, 374606, 609, 489, 516
1557796479462, 374620, 608, 485, 520
1557796479475, 374633, 612, 480, 522
1557796479489, 374645, 613, 476, 522
1557796479503, 374659, 616, 475, 523
1557796479515, 374672, 615, 474, 527
1557796479528, 374685, 611, 471, 533
1557796479541, 374697, 606, 468, 539
1557796479555, 374711, 607, 466, 541
1557796479567, 374724, 613, 463, 542
1557796479579, 374737, 620, 454, 541
1557796479593, 374750, 627, 444, 543
1557796479606, 374763, 627, 435, 550
1557796479620, 374776, 620, 431, 557
1557796479634, 374790, 614, 431, 564
1557796479646, 374802, 609, 431, 570
1557796479658, 374815, 606, 432, 570
1557796479672, 374829, 607, 434, 565
1557796479685, 374842, 612, 437, 560
1557796479698, 374855, 616, 433, 555
1557796479711, 374867, 614, 431, 554
1557796479725, 374881, 610, 431, 559
1557796479737, 374894, 603, 430, 565
1557796479750, 374907, 595, 430, 568
1557796479764, 374920, 594, 433, 568
1557796479776, 374933, 594, 434, 564
1557796479789, 374946, 596, 433, 560
1557796479803, 374960, 599, 432, 559
1557796479816, 374972, 601, 425, 556
1557796479828, 374985, 596, 423, 564
