Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796488639, 383796, 581, 427, 554
1557796488653, 383809, 581, 426, 554
1557796488665, 383821, 581, 426, 555
1557796488679, 383835, 580, 426, 555
1557796488691, 383848, 581, 427, 555
1557796488705, 383861, 581, 426, 554
1557796488717, 383874, 581, 426, 554
1557796488731, 383887, 581, 427, 554
1557796488744, 383900, 581, 426, 554
1557796488757, 383913, 581, 426, 554
1557796488770, 383926, 581, 427, 554
1557796488783, 383939, 581, 425, 554
1557796488795, 383952, 580, 427, 555
1557796488810, 383966, 581, 427, 554
1557796488822, 383978, 580, 426, 554
1557796488836, 383991, 581, 426, 554
1557796488849, 384005, 581, 425, 554
1557796488862, 384018, 581, 426, 554
1557796488875, 384031, 581, 427, 554
1557796488887, 384044, 581, 426, 554
1557796488901, 384057, 581, 426, 554
1557796488914, 384070, 581, 426, 555
1557796488927, 384083, 581, 426, 555
1557796488940, 384096, 581, 427, 555
1557796488953, 384109, 581, 426, 555
1557796488966, 384122, 581, 427, 555
1557796488979, 384136, 581, 428, 555
1557796488992, 384148, 582, 427, 554
1557796489004, 384161, 582, 426, 553
1557796489019, 384175, 582, 425, 553
1557796489032, 384188, 580, 425, 553
1557796489044, 384200, 581, 423, 553
1557796489057, 384214, 581, 425, 554
1557796489072, 384227, 581, 427, 554
1557796489083, 384240, 580, 426, 554
1557796489097, 384253, 581, 423, 553
1557796489109, 384266, 579, 425, 554
1557796489123, 384279, 579, 426, 554
1557796489135, 384292, 579, 427, 554
1557796489149, 384306, 580, 427, 555
1557796489162, 384318, 581, 427, 555
1557796489175, 384331, 582, 429, 555
1557796489188, 384345, 582, 429, 555
1557796489201, 384358, 583, 428, 554
1557796489215, 384370, 583, 428, 554
1557796489227, 384384, 582, 427, 554
1557796489240, 384397, 580, 426, 554
1557796489254, 384410, 579, 425, 554
1557796489266, 384422, 579, 424, 554
1557796489280, 384436, 578, 424, 554
1557796489292, 384449, 578, 423, 553
1557796489306, 384462, 578, 423, 553
1557796489318, 384475, 579, 424, 553
1557796489332, 384488, 580, 424, 552
1557796489345, 384501, 580, 426, 553
1557796489358, 384515, 581, 426, 553
1557796489372, 384528, 581, 426, 554
1557796489384, 384540, 581, 427, 554
1557796489399, 384553, 582, 426, 555
1557796489410, 384567, 580, 427, 555
1557796489423, 384580, 581, 428, 555
1557796489436, 384592, 581, 427, 555
1557796489450, 384606, 581, 427, 554
1557796489463, 384619, 581, 426, 554
1557796489476, 384632, 581, 425, 554
1557796489488, 384645, 580, 426, 553
1557796489502, 384658, 581, 425, 553
1557796489514, 384671, 580, 425, 553
1557796489529, 384685, 580, 425, 554
1557796489541, 384697, 580, 425, 553
1557796489555, 384710, 580, 426, 553
1557796489568, 384723, 581, 426, 554
1557796489580, 384737, 581, 425, 554
1557796489592, 384750, 580, 427, 554
1557796489606, 384762, 581, 427, 554
1557796489620, 384776, 580, 426, 554
1557796489632, 384789, 581, 423, 554
1557796489644, 384802, 580, 424, 554
1557796489659, 384815, 580, 427, 554
1557796489671, 384828, 581, 428, 554
1557796489685, 384841, 580, 426, 554
1557796489697, 384855, 581, 424, 554
1557796489711, 384867, 580, 422, 554
1557796489724, 384880, 579, 421, 556
1557796489737, 384893, 579, 423, 559
1557796489751, 384907, 576, 422, 560
1557796489764, 384919, 575, 421, 563
1557796489776, 384932, 569, 413, 570
1557796489789, 384946, 566, 398, 578
1557796489801, 384959, 566, 384, 588
1557796489815, 384972, 568, 357, 610
1557796489829, 384985, 565, 332, 628
1557796489841, 384998, 571, 323, 634
1557796489855, 385011, 582, 326, 634
1557796489868, 385025, 585, 343, 620
1557796489881, 385037, 595, 369, 604
1557796489893, 385050, 605, 388, 583
1557796489906, 385063, 611, 398, 572
1557796489920, 385077, 613, 401, 564
1557796489934, 385089, 614, 405, 553
1557796489948, 385102, 612, 411, 545
1557796489959, 385116, 612, 420, 537
1557796489972, 385129, 609, 426, 533
1557796489985, 385141, 599, 436, 528
1557796489998, 385155, 595, 451, 520
1557796490010, 385168, 596, 467, 511
1557796490025, 385181, 599, 479, 499
1557796490038, 385195, 603, 488, 497
1557796490050, 385207, 598, 488, 498
1557796490064, 385220, 593, 490, 500
1557796490077, 385233, 590, 492, 498
1557796490090, 385247, 586, 500, 498
1557796490103, 385259, 581, 508, 495
1557796490117, 385272, 582, 517, 490
1557796490129, 385286, 586, 524, 487
1557796490142, 385299, 589, 526, 486
1557796490154, 385311, 593, 527, 484
1557796490168, 385325, 597, 525, 482
1557796490182, 385338, 598, 518, 485
1557796490195, 385351, 597, 516, 489
1557796490208, 385363, 599, 514, 490
1557796490220, 385377, 605, 515, 492
1557796490234, 385390, 606, 515, 495
1557796490246, 385403, 605, 515, 504
1557796490260, 385416, 604, 513, 509
1557796490273, 385429, 610, 515, 507
1557796490286, 385442, 613, 513, 506
1557796490300, 385456, 615, 511, 505
1557796490312, 385469, 618, 513, 501
1557796490326, 385481, 621, 519, 499
1557796490339, 385495, 629, 523, 487
1557796490351, 385508, 624, 519, 489
1557796490364, 385521, 620, 520, 493
1557796490378, 385533, 622, 522, 496
1557796490391, 385547, 622, 521, 499
1557796490404, 385560, 621, 518, 504
1557796490416, 385573, 625, 515, 505
1557796490430, 385586, 628, 512, 505
1557796490442, 385599, 630, 512, 503
1557796490456, 385612, 630, 516, 501
1557796490468, 385626, 628, 519, 499
1557796490483, 385639, 628, 519, 495
1557796490495, 385651, 629, 518, 493
1557796490510, 385665, 626, 517, 495
1557796490522, 385678, 620, 514, 501
1557796490535, 385691, 617, 515, 503
1557796490548, 385703, 618, 516, 504
1557796490560, 385717, 616, 516, 506
1557796490573, 385730, 616, 516, 505
1557796490587, 385743, 616, 518, 504
1557796490600, 385756, 618, 517, 505
1557796490613, 385769, 621, 519, 505
1557796490626, 385782, 620, 521, 507
1557796490638, 385796, 619, 521, 506
1557796490652, 385808, 623, 519, 502
1557796490666, 385821, 624, 518, 502
1557796490678, 385835, 621, 519, 503
1557796490691, 385848, 618, 523, 504
1557796490705, 385860, 616, 524, 501
1557796490716, 385873, 616, 522, 500
1557796490730, 385887, 609, 520, 502
1557796490744, 385900, 608, 520, 502
1557796490756, 385913, 607, 520, 502
1557796490770, 385926, 608, 519, 502
1557796490783, 385939, 613, 515, 495
1557796490795, 385952, 611, 514, 497
1557796490809, 385966, 611, 515, 499
1557796490822, 385978, 612, 516, 501
1557796490835, 385991, 611, 518, 506
1557796490849, 386004, 613, 520, 507
1557796490861, 386018, 615, 520, 511
1557796490875, 386030, 618, 519, 512
1557796490887, 386043, 622, 515, 512
1557796490899, 386057, 625, 513, 511
1557796490913, 386070, 625, 511, 512
1557796490926, 386082, 625, 510, 511
1557796490939, 386096, 625, 510, 509
1557796490953, 386109, 626, 509, 505
1557796490966, 386122, 628, 508, 502
1557796490979, 386136, 628, 507, 501
1557796490992, 386148, 630, 508, 497
1557796491005, 386161, 630, 505, 496
1557796491018, 386174, 629, 506, 497
1557796491031, 386188, 626, 505, 498
1557796491044, 386200, 623, 504, 500
1557796491057, 386213, 620, 500, 499
1557796491072, 386227, 619, 497, 499
1557796491084, 386240, 619, 497, 498
1557796491095, 386252, 618, 498, 500
1557796491108, 386266, 617, 499, 502
